nmse_best,nmse_min,nmse_avg_full,nmse_avg_sub,base_r_best,base_r_max,base_r_avg_full,base_r_avg_sub,r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma
5.437965869903564453e+00,5.437965869903564453e+00,inf,6.502135620117187500e+02,2.774673998355865479e-01,2.774673998355865479e-01,9.885132312774658203e-02,1.906890720129013062e-01,2.774673998355865479e-01,2.774673998355865479e-01,9.885132312774658203e-02,1.906890720129013062e-01,2.828599929809570312e+01,2.854000091552734375e+01,-1.000000000000000000e+00
4.968752861022949219e+00,4.968752861022949219e+00,inf,1.951384162902832031e+01,3.039329349994659424e-01,3.039329349994659424e-01,9.669717401266098022e-02,1.915621459484100342e-01,3.039329349994659424e-01,3.039329349994659424e-01,9.669717401266098022e-02,1.915621459484100342e-01,2.882399940490722656e+01,2.904000091552734375e+01,-1.000000000000000000e+00
3.383744001388549805e+00,3.383744001388549805e+00,inf,1.756405830383300781e+01,3.039329349994659424e-01,3.006175756454467773e-01,9.357978403568267822e-02,1.920836716890335083e-01,3.039329349994659424e-01,3.006175756454467773e-01,9.357978403568267822e-02,1.920836716890335083e-01,2.845999908447265625e+01,2.815999984741210938e+01,-1.000000000000000000e+00
2.475691795349121094e+00,2.475691795349121094e+00,inf,1.967945098876953125e+01,3.865642249584197998e-01,3.865642249584197998e-01,9.274975955486297607e-02,1.919116228818893433e-01,3.865642249584197998e-01,3.865642249584197998e-01,9.274975955486297607e-02,1.919116228818893433e-01,2.849399948120117188e+01,2.805999946594238281e+01,-1.000000000000000000e+00
1.780885577201843262e+00,1.780885577201843262e+00,inf,1.955362129211425781e+01,4.801749289035797119e-01,4.801749289035797119e-01,9.460755437612533569e-02,2.018840909004211426e-01,4.801749289035797119e-01,4.801749289035797119e-01,9.460755437612533569e-02,2.018840909004211426e-01,2.820000076293945312e+01,2.818000030517578125e+01,-1.000000000000000000e+00
1.780885577201843262e+00,3.107456207275390625e+00,inf,1.871602249145507812e+01,4.801749289035797119e-01,3.756233155727386475e-01,9.287393093109130859e-02,1.935510784387588501e-01,4.801749289035797119e-01,3.756233155727386475e-01,9.287393093109130859e-02,1.935510784387588501e-01,2.825600051879882812e+01,2.845999908447265625e+01,-1.000000000000000000e+00
1.780885577201843262e+00,3.987545728683471680e+00,inf,1.865236091613769531e+01,4.801749289035797119e-01,3.088758289813995361e-01,9.589036554098129272e-02,1.951922625303268433e-01,4.801749289035797119e-01,3.088758289813995361e-01,9.589036554098129272e-02,1.951922625303268433e-01,2.870400047302246094e+01,2.920000076293945312e+01,-1.000000000000000000e+00
1.780885577201843262e+00,3.392392396926879883e+00,inf,2.134400177001953125e+01,4.801749289035797119e-01,3.329488933086395264e-01,9.511557221412658691e-02,1.901899725198745728e-01,4.801749289035797119e-01,3.329488933086395264e-01,9.511557221412658691e-02,1.901899725198745728e-01,2.781999969482421875e+01,2.504000091552734375e+01,-1.000000000000000000e+00
1.167842984199523926e+00,1.167842984199523926e+00,inf,1.855420494079589844e+01,4.801749289035797119e-01,4.692868888378143311e-01,9.660778939723968506e-02,2.026047259569168091e-01,4.801749289035797119e-01,4.692868888378143311e-01,9.660778939723968506e-02,2.026047259569168091e-01,2.804800033569335938e+01,2.542000007629394531e+01,-1.000000000000000000e+00
1.167842984199523926e+00,1.321600556373596191e+00,inf,1.781581687927246094e+01,4.853486418724060059e-01,4.853486418724060059e-01,9.505741298198699951e-02,2.231905460357666016e-01,4.853486418724060059e-01,4.853486418724060059e-01,9.505741298198699951e-02,2.231905460357666016e-01,2.884600067138671875e+01,2.910000038146972656e+01,-1.000000000000000000e+00
